symbol,occurrences,distinct_components,host_present,components,files
premises.service-windows.store,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/routes/api.php | host:app/Domains/WorkCore/System/Modules/Premises/routes/api.php
premises.show,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/routes/api.php | host:app/Domains/WorkCore/System/Modules/Premises/routes/api.php
premises.spaces.store,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/routes/api.php | host:app/Domains/WorkCore/System/Modules/Premises/routes/api.php
premises.store,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Premises/routes/api.php | host:app/Domains/WorkCore/System/Modules/Premises/routes/api.php
premium-support,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
prepaid.checkout,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
prepaid.createPayPalOrder,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
privacy,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
process,4,2,no,06_WORKFORCE_AND_ONBOARDING/HRCore | Interaction Engine,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php | donor:02_GUIDED_INTERACTION_RUNTIME/Interaction_Engine/routes/api.php | donor:02_GUIDED_INTERACTION_RUNTIME/Interaction_Engine/routes/web.php
product-orders,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php
profile,4,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/api.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/api.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php
profile.password,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php
profile.photo,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php
profile.update,4,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/api.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/api.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php
prompts,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
public-list,2,2,no,04_AI_AUTHORING_STUDIO/ai-chat-pro-skills | Titan Zero Chatbot PWA,donor:04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-skills/System\AIChatProSkillsServiceProvider.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/skills/System/SystemAIChatSkillsServiceProvider.php
public-search,2,2,no,04_AI_AUTHORING_STUDIO/ai-chat-pro-skills | Titan Zero Chatbot PWA,donor:04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-skills/System\AIChatProSkillsServiceProvider.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/skills/System/SystemAIChatSkillsServiceProvider.php
public-show,2,2,no,04_AI_AUTHORING_STUDIO/ai-chat-pro-skills | Titan Zero Chatbot PWA,donor:04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-skills/System\AIChatProSkillsServiceProvider.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/skills/System/SystemAIChatSkillsServiceProvider.php
qa,3,3,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host | Titan Zero Chatbot PWA,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/ChatbotServiceProvider.php | host:routes/panel.php
realtime.chat,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
recurring_schedule.change_status,2,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Routes/web.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Routes/web.php
recurring_schedule.export,2,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Routes/web.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Routes/web.php
recurring_schedule.recurring_schedule,2,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Routes/web.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Routes/web.php
reduce-tokens,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
register,3,3,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host | Titan Train v0.7.0,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/auth.php | donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/routes/web.php | host:routes/auth.php
regularization,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php
reject,5,2,no,06_WORKFORCE_AND_ONBOARDING/HRCore | 06_WORKFORCE_AND_ONBOARDING/StaffCompliance,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/api.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/api.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/StaffCompliance/StaffCompliance/Routes/web.php
remains,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
remove,4,4,yes,04_AI_AUTHORING_STUDIO/ai-chat-pro-skills | 13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host | Titan Zero Chatbot PWA,donor:04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-skills/System\AIChatProSkillsServiceProvider.php | donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/skills/System/SystemAIChatSkillsServiceProvider.php | host:routes/panel.php
