symbol,occurrences,distinct_components,host_present,components,files
client_projects,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2022_07_19_065033_create_client_projects_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2022_07_19_065033_create_client_projects_table.php
comments,2,1,no,09_PROPERTY_JOBS_AND_DISPATCH/CleaningJobs,donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/Migrations/2022_07_14_132351_create_comments_table.php | donor:09_PROPERTY_JOBS_AND_DISPATCH/Modules_for_Titan_BOS/CleaningJobs/CleaningJobs/Database/migrations/2022_07_14_132351_create_comments_table.php
companies,2,2,yes,MagicAI + WorkCore host | Titan Train v0.7.0,donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/database/migrations/2026_07_25_000001_create_titan_foundation_tables.php | host:database/migrations/2024_02_26_184945_create_companies_table.php
compensatory_offs,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_07_12_114015_create_compensatory_offs_table.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_07_12_114015_create_compensatory_offs_table.php
departments,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2024_12_16_084436_create_departments.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2024_12_16_084436_create_departments.php
designations,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2024_12_16_084459_create_designations.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2024_12_16_084459_create_designations.php
elevenlab_voices,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/database/migrations/2024_02_16_163955_create_elevenlab_voices_table.php | host:database/migrations/2024_02_16_163955_create_elevenlab_voices_table.php
employee_histories,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_01_20_100000_create_employee_lifecycle_tables.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_01_20_100000_create_employee_lifecycle_tables.php
employee_lifecycle_states,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_01_20_100000_create_employee_lifecycle_tables.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_01_20_100000_create_employee_lifecycle_tables.php
employee_offboarding_checklists,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_01_20_100000_create_employee_lifecycle_tables.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_01_20_100000_create_employee_lifecycle_tables.php
